id,aqisitionStation,pressure,relative_humidity,temperature,timestamp,wind,nebulosityType,windtype
2085,ZIMNICEA,1018.5,89,19.9,1435872290057,2.0,NULL,NULL
2086,ADAMCLISI,1003.3,61,18.9,1435875862143,1.0,NULL,NULL
2087,ADJUD,1010.3,68,18.4,1435875862175,3.0,NULL,NULL
2088,"ALBA IULIA",1013.7,92,23.2,1435875862214,NULL,NULL,NULL
2089,ALEXANDRIA,1013.7,92,17.1,1435875862245,3.0,NULL,NULL
2090,ARAD,1003.4,71,15.3,1435875862270,NULL,NULL,NULL
2091,BACAU,1003.4,71,17.5,1435875862298,1.0,NULL,NULL
2092,BACLES,986.6,73,18.9,1435875862328,4.0,NULL,NULL
2093,"BAIA MARE",1002.7,52,19.6,1435875862356,2.0,NULL,NULL
2094,"BAILE HERCULANE",1000.2,74,19.3,1435875862384,2.0,NULL,NULL
2095,BAILESTI,1016.1,70,21,1435875862419,4.0,NULL,NULL
2096,BAISOARA,873.6,63,13,1435875862481,2.0,NULL,NULL
2097,"BALEA LAC",803.4,94,3.2,1435875862530,2.0,NULL,NULL
2098,BANLOC,1013.5,57,20.5,1435875862571,2.0,NULL,NULL
2099,BARAOLT,965.1,81,13,1435875862602,1.0,NULL,NULL
2100,BARLAD,972.5,53,18.8,1435875862629,NULL,NULL,NULL
2101,"BARNOVA (RADAR)",972.5,53,18.2,1435875862657,NULL,NULL,NULL
2102,BATOS,972.5,53,18.2,1435875862685,1.0,NULL,NULL
2103,BECHET,1017.7,69,21.5,1435875862716,4.0,NULL,NULL
2104,BISOCA,926.2,66,14.8,1435875862744,NULL,NULL,NULL
2105,BISTRITA,981.3,62,17.4,1435875862773,2.0,NULL,NULL
2106,BLAJ,984.4,66,17.9,1435875862801,4.0,NULL,NULL
2107,BOITA,963.7,88,16.3,1435875862829,3.0,NULL,NULL
2108,BOROD,985.7,77,14.9,1435875862856,2.0,NULL,NULL
2109,BOTOSANI,1005.6,62,19.3,1435875862885,2.0,NULL,NULL
2110,BOZOVICI,1020.5,78,15.1,1435875862913,NULL,NULL,NULL
2111,BRAILA,1020.5,78,17.1,1435875862967,2.0,NULL,NULL
2112,"BRASOV GHIMBAV",962.5,99,15.1,1435875862998,1.0,NULL,NULL
2113,BUCIN,882.8,70,10.3,1435875863024,2.0,NULL,NULL
2114,"BUCURESTI AFUMATI",1012.3,99,16.3,1435875863054,NULL,NULL,NULL
2115,"BUCURESTI BANEASA",1012.3,99,13.9,1435875863083,1.0,NULL,NULL
2116,"BUCURESTI FILARET",1011.8,84,16.9,1435875863111,NULL,NULL,NULL
2117,BUZAU,1011.8,84,17.1,1435875863138,2.0,NULL,NULL
2118,CALAFAT,1014.7,79,20.5,1435875863167,4.0,NULL,NULL
2119,CALARASI,1020.2,85,17.4,1435875863214,1.0,NULL,NULL
2120,"CALIMANI (RETITIS)",808.6,100,5.7,1435875863923,NULL,NULL,NULL
2121,"CAMPENI (BISTRA)",954,87,13.4,1435875864060,1.0,NULL,NULL
2122,CAMPINA,970.2,86,14.9,1435875864163,1.0,NULL,NULL
2123,"CAMPULUNG MUSCEL",1010.3,92,18.4,1435875864205,NULL,NULL,NULL
2124,CARACAL,1010.3,92,18.4,1435875864538,1.0,NULL,NULL
2125,CARANSEBES,994.9,91,16.1,1435875868701,1.0,NULL,NULL
2126,"CEAHLAU TOACA",819.4,100,6.4,1435875870867,6.0,NULL,NULL
2127,CERNAVODA,1011.9,59,19.8,1435875870893,2.0,NULL,NULL
2128,"CHISINEU CRIS",1012.2,70,17.2,1435875871924,3.0,NULL,NULL
2129,CLUJ-NAPOCA,977,85,15.9,1435875874756,1.0,NULL,NULL
2130,CONSTANTA,1019.6,80,19.6,1435875874783,1.0,NULL,NULL
2131,CORUGEA,995.9,100,17.2,1435875877548,3.0,NULL,NULL
2132,COTNARI,990.1,81,16.7,1435875877574,5.0,NULL,NULL
2133,CRAIOVA,1000.2,75,20,1435875877754,2.0,NULL,NULL
2134,CUNTU,864.6,73,13.2,1435875878090,1.0,NULL,NULL
2135,"CURTEA DE ARGES",994.7,70,19.1,1435875878753,NULL,NULL,NULL
2136,DARABANI,994.7,70,17.3,1435875878778,4.0,NULL,NULL
2137,DEDULESTI-MORARESTI,997.1,81,17.9,1435875879199,NULL,NULL,NULL
2138,DEJ,997.1,81,15.2,1435875879835,1.0,NULL,NULL
2139,DEVA,990.8,76,17.3,1435875879960,NULL,NULL,NULL
2140,DRAGASANI,990.8,76,19.5,1435875880126,2.0,NULL,NULL
2141,"DROBETA TURNU SEVERIN",1014,66,21.8,1435875880230,1.0,NULL,NULL
2142,DUMBRAVENI,986.7,93,14.3,1435875880257,1.0,NULL,NULL
2143,"DUMBRAVITA DE CODRU",956.7,67,16.7,1435875880586,1.0,NULL,NULL
2144,FAGARAS,974.5,96,16.2,1435875880888,2.0,NULL,NULL
2145,FETESTI,1014.6,59,20.7,1435875880913,1.0,NULL,NULL
2146,FOCSANI,1016.7,51,21.4,1435875881140,3.0,NULL,NULL
2147,FUNDATA,872.6,100,11.2,1435875881168,2.0,NULL,NULL
2148,FUNDULEA,1014.1,58,20.2,1435875881245,NULL,NULL,NULL
2149,GALATI,1014.1,58,19.5,1435875881290,3.0,NULL,NULL
2150,GIURGIU,1019.8,98,16.5,1435875881392,1.0,NULL,NULL
2151,GORGOVA,1020.6,73,18.5,1435875881446,NULL,NULL,NULL
2152,GRIVITA,1020.6,73,15,1435875881540,NULL,NULL,NULL
2153,"GURA PORTITEI",1020.6,73,20.8,1435875881647,3.0,NULL,NULL
2154,GURAHONT,1002.5,88,14.5,1435875881722,2.0,NULL,NULL
2155,HALANGA,1017.3,69,22,1435875881873,NULL,NULL,NULL
2156,HARSOVA,1017.3,69,17.9,1435875882165,2.0,NULL,NULL
2157,HOLOD,1014.7,71,17,1435875882193,NULL,NULL,NULL
2158,HUEDIN,1014.7,71,21.8,1435875882292,NULL,NULL,NULL
2159,IASI,1014.7,71,18.9,1435875882571,1.0,NULL,NULL
2160,IEZER,831.1,77,8.8,1435875882844,4.0,NULL,NULL
2161,"INTORSURA BUZAULUI",945.1,100,13.3,1435875883310,1.0,NULL,NULL
2162,JIMBOLIA,1014.4,54,20.5,1435875883335,3.0,NULL,NULL
2163,JOSENI,939.5,83,11.4,1435875883739,2.0,NULL,NULL
2164,JURILOVCA,1016.5,59,19.2,1435875884580,5.0,NULL,NULL
2165,LACAUTI,820,100,7.5,1435875885184,6.0,NULL,NULL
2166,LUGOJ,1008.5,82,16.2,1435875885209,1.0,NULL,NULL
2167,MAHMUDIA,1000.9,72,17.6,1435875886309,7.0,NULL,NULL
2168,MANGALIA,1020.2,70,19,1435875887737,3.0,NULL,NULL
2169,MEDGIDIA,1013.5,65,16.9,1435875887828,2.0,NULL,NULL
2170,"MIERCUREA CIUC",948.5,82,12.1,1435875887897,1.0,NULL,NULL
2171,"MOLDOVA VECHE",1013.1,74,19.4,1435875887943,1.0,NULL,NULL
2172,"NEGRESTI (VASLUI)",1008.5,72,18.8,1435875887973,2.0,NULL,NULL
2173,"OBARSIA LOTRULUI",875.4,90,8.5,1435875887998,2.0,NULL,NULL
2174,"OCNA SUGATAG",967.6,69,14.3,1435875888026,2.0,NULL,NULL
2175,"ODORHEIUL SECUIESC",963.7,65,15.8,1435875888053,1.0,NULL,NULL
2176,OLTENITA,1008.3,49,19,1435875888081,NULL,NULL,NULL
2177,ORADEA,1008.3,49,21.1,1435875888110,4.0,NULL,NULL
2178,ORAVITA,986.9,57,20.4,1435875888139,4.0,NULL,NULL
2179,"PADES (APA NEAGRA)",991.5,98,22.2,1435875888165,2.0,NULL,NULL
2180,PALTINIS,864.1,90,11,1435875888192,1.0,NULL,NULL
2181,PARANG,853.7,70,11.9,1435875888221,2.0,NULL,NULL
2182,PATARLAGELE,843.6,87,19,1435875888249,NULL,NULL,NULL
2183,PENTELEU,843.6,87,8.4,1435875888279,NULL,NULL,NULL
2184,PETROSANI,953.8,60,21.4,1435875891938,4.0,NULL,NULL
2185,"PIATRA NEAMT",982.5,58,18.9,1435875892590,3.0,NULL,NULL
2186,PITESTI,985.8,88,17.5,1435875892656,3.0,NULL,NULL
2187,PLOIESTI,1002.3,91,17.6,1435875896682,2.0,NULL,NULL
2188,"POIANA STAMPEI",920.7,77,12.5,1435875896707,3.0,NULL,NULL
2189,POLOVRAGI,962.7,89,16.3,1435875897372,1.0,NULL,NULL
2190,PREDEAL,980.3,71,11,1435875898068,NULL,NULL,NULL
2191,RADAUTI,980.3,71,16.6,1435875898840,3.0,NULL,NULL
2192,"RAMNICU SARAT",995.9,81,22.6,1435875898866,NULL,NULL,NULL
2193,"RAMNICU VALCEA",995.9,81,18.4,1435875899637,2.0,NULL,NULL
2194,RESITA,990.5,87,16.9,1435875899710,1.0,NULL,NULL
2195,ROMAN,998.5,81,17.1,1435875899895,4.0,NULL,NULL
2196,"ROSIA MONTANA",891.1,64,14.2,1435875901687,4.0,NULL,NULL
2197,"ROSIORII DE VEDE",1012.2,64,19.5,1435875903740,NULL,NULL,NULL
2198,SACUIENI,1012.2,64,23.6,1435875903766,NULL,NULL,NULL
2199,"SANNICOLAU MARE",1012.2,64,18,1435875906352,3.0,NULL,NULL
2200,SARMASU,978.7,57,17.2,1435875909476,1.0,NULL,NULL
2201,"SATU MARE",1010.6,71,16.5,1435875909936,2.0,NULL,NULL
2202,"SEBES (ALBA)",992.2,80,17,1435875909961,2.0,NULL,NULL
2203,SEMENIC,866.8,66,12.5,1435875910383,5.0,NULL,NULL
2204,"SFANTU GHEORGHE (DELTA)",963.9,98,19.9,1435875910467,NULL,NULL,NULL
2205,"SFANTU GHEORGHE (MUNTE)",963.9,98,13.4,1435875911664,1.0,NULL,NULL
2206,SIBIU,972,75,17.5,1435875911689,4.0,NULL,NULL
2207,"SIGHETUL MARMATIEI",857.3,89,14.1,1435875911772,NULL,NULL,NULL
2208,"SINAIA 1500",857.3,89,9.3,1435875911827,1.0,NULL,NULL
2209,SIRIA,968.8,49,20.2,1435875911881,3.0,NULL,NULL
2210,SLATINA,1003,82,19.2,1435875912698,1.0,NULL,NULL
2211,SLOBOZIA,1016.4,70,18,1435875912825,2.0,NULL,NULL
2212,"STANA DE VALE",1010.6,86,7.5,1435875912850,NULL,NULL,NULL
2213,"STEFANESTI STANCA",1010.6,86,18.4,1435875912947,2.0,NULL,NULL
2214,"STEI (PETRU GROZA)",990.8,82,14.2,1435875912972,2.0,NULL,NULL
2215,STOLNICI,998.7,91,17.4,1435875913692,1.0,NULL,NULL
2216,SUCEAVA,1018.8,75,16.8,1435875914160,NULL,NULL,NULL
2217,SULINA,1018.8,75,19.6,1435875914185,6.0,NULL,NULL
2218,"SUPURU DE JOS",790.3,87,16.3,1435875917999,NULL,NULL,NULL
2219,TARCU,790.3,87,8.5,1435875918024,8.0,NULL,NULL
2220,TARGOVISTE,988.6,100,15.2,1435875920112,2.0,NULL,NULL
2221,"TARGU JIU",999.5,74,20.5,1435875920426,1.0,NULL,NULL
2222,"TARGU LAPUS",992.5,93,13.8,1435875920597,NULL,NULL,NULL
2223,"TARGU LOGRESTI",992.5,93,17.7,1435875922284,1.0,NULL,NULL
2224,"TARGU MURES",988.3,84,14.5,1435875922309,2.0,NULL,NULL
2225,"TARGU NEAMT",979.9,64,17.9,1435875922413,3.0,NULL,NULL
2226,"TARGU OCNA",995.5,67,17.6,1435875922439,1.0,NULL,NULL
2227,"TARGU SECUIESC",958.5,84,11.3,1435875922464,3.0,NULL,NULL
2228,"TARNAVENI (BOBOHALMA)",963.5,60,17.8,1435875922494,3.0,NULL,NULL
2229,TEBEA,992,83,15.6,1435875922521,1.0,NULL,NULL
2230,TECUCI,1015.7,56,20,1435875922550,5.0,NULL,NULL
2231,TIMISOARA,1012.7,52,20.6,1435875922633,3.0,NULL,NULL
2232,TITU,1005.1,96,16.1,1435875922658,1.0,NULL,NULL
2233,TOPLITA,946.9,85,11.6,1435875922734,1.0,NULL,NULL
2234,TULCEA,1020.9,69,18.5,1435875922757,1.0,NULL,NULL
2235,TURDA,975.1,65,16.9,1435875922782,2.0,NULL,NULL
2236,"TURNU MAGURELE",1018.8,87,20.2,1435875922815,3.0,NULL,NULL
2237,URZICENI,1015.8,80,16.7,1435875922843,1.0,NULL,NULL
2238,"VARADIA DE MURES",760.4,100,13.2,1435875922871,NULL,NULL,NULL
2239,"VARFUL OMU",760.4,100,3.2,1435875922899,6.0,NULL,NULL
2240,VASLUI,1008.8,70,18,1435875922928,2.0,NULL,NULL
2241,VIDELE,1008.4,78,19.8,1435875922956,2.0,NULL,NULL
2242,"VLADEASA 1400",825.2,85,13.6,1435875922984,NULL,NULL,NULL
2243,"VLADEASA 1800",825.2,85,7.7,1435875923013,3.0,NULL,NULL
2244,VOINEASA,958.6,80,13.2,1435875923041,1.0,NULL,NULL
2245,ZALAU,1018.1,95,16.3,1435875923069,NULL,NULL,NULL
2246,ZIMNICEA,1018.1,95,18.5,1435875923098,1.0,NULL,NULL
2247,ADAMCLISI,1003.1,62,18.4,1435879462177,1.0,NULL,NULL
2248,ADJUD,1010.3,75,17.6,1435879462207,3.0,NULL,NULL
2249,"ALBA IULIA",1014.1,90,23.2,1435879462250,NULL,NULL,NULL
2250,ALEXANDRIA,1014.1,90,16.8,1435879462280,1.0,NULL,NULL
2251,ARAD,1003.7,66,15.8,1435879462305,NULL,NULL,NULL
2252,BACAU,1003.7,66,19,1435879462334,2.0,NULL,NULL
2253,BACLES,986.7,75,17.9,1435879462364,3.0,NULL,NULL
2254,"BAIA MARE",1003,67,16.4,1435879462390,1.0,NULL,NULL
2255,"BAILE HERCULANE",1016.2,72,18.1,1435879462426,NULL,NULL,NULL
2256,BAILESTI,1016.2,72,20.4,1435879462492,3.0,NULL,NULL
2257,BAISOARA,873.6,63,13,1435879462540,2.0,NULL,NULL
2258,"BALEA LAC",803.2,86,3.2,1435879462565,1.0,NULL,NULL
2259,BANLOC,1013.6,73,17.8,1435879462604,2.0,NULL,NULL
2260,BARAOLT,965.2,85,13.2,1435879462634,1.0,NULL,NULL
2261,BARLAD,972.7,56,18,1435879462663,NULL,NULL,NULL
2262,"BARNOVA (RADAR)",972.7,56,18.2,1435879462692,NULL,NULL,NULL
2263,BATOS,972.7,56,17.6,1435879462720,1.0,NULL,NULL
2264,BECHET,1018.2,81,19.8,1435879462748,4.0,NULL,NULL
2265,BISOCA,926.3,67,14.6,1435879462780,7.0,NULL,NULL
2266,BISTRITA,981.5,64,17,1435879462810,3.0,NULL,NULL
2267,BLAJ,984.6,77,16.3,1435879462837,4.0,NULL,NULL
2268,BOITA,963.8,99,14.6,1435879462867,2.0,NULL,NULL
2269,BOROD,985.8,90,12.7,1435879462895,1.0,NULL,NULL
2270,BOTOSANI,1005.4,70,17.5,1435879462923,2.0,NULL,NULL
2271,BOZOVICI,994.3,98,13.4,1435879462958,1.0,NULL,NULL
2272,BRAILA,1020.4,75,17.1,1435879463012,2.0,NULL,NULL
2273,"BRASOV GHIMBAV",962.6,99,14,1435879463041,1.0,NULL,NULL
2274,BUCIN,882.8,70,10.3,1435879463072,2.0,NULL,NULL
2275,"BUCURESTI AFUMATI",1012.4,100,16.4,1435879463101,NULL,NULL,NULL
2276,"BUCURESTI BANEASA",1012.4,100,13.1,1435879463128,1.0,NULL,NULL
2277,"BUCURESTI FILARET",1013.8,94,16.2,1435879463156,1.0,NULL,NULL
2278,BUZAU,1011.7,83,16.5,1435879463184,2.0,NULL,NULL
2279,CALAFAT,1015.2,82,19.5,1435879463213,3.0,NULL,NULL
2280,CALARASI,1019.9,83,16.9,1435879463243,2.0,NULL,NULL
2281,"CALIMANI (RETITIS)",808.7,100,5.4,1435879463334,NULL,NULL,NULL
2282,"CAMPENI (BISTRA)",954.2,92,12.2,1435879464728,1.0,NULL,NULL
2283,CAMPINA,970.2,81,15.2,1435879464858,2.0,NULL,NULL
2284,"CAMPULUNG MUSCEL",1010.7,91,18.4,1435879464938,NULL,NULL,NULL
2285,CARACAL,1010.7,91,18.5,1435879468696,2.0,NULL,NULL
2286,CARANSEBES,995.1,92,15.2,1435879468845,2.0,NULL,NULL
2287,"CEAHLAU TOACA",819.6,100,6.2,1435879468975,6.0,NULL,NULL
2288,CERNAVODA,1011.7,66,19,1435879471725,2.0,NULL,NULL
2289,"CHISINEU CRIS",1012.3,75,16.1,1435879471855,2.0,NULL,NULL
2290,CLUJ-NAPOCA,977.2,90,14.7,1435879471985,2.0,NULL,NULL
2291,CONSTANTA,1019.5,74,18.8,1435879476785,1.0,NULL,NULL
2292,CORUGEA,995.6,100,16.7,1435879476907,4.0,NULL,NULL
2293,COTNARI,989.6,71,18,1435879477029,7.0,NULL,NULL
2294,CRAIOVA,1000.1,83,18.8,1435879477377,4.0,NULL,NULL
2295,CUNTU,864.6,73,13.2,1435879477508,1.0,NULL,NULL
2296,"CURTEA DE ARGES",994.8,71,19.1,1435879477653,NULL,NULL,NULL
2297,DARABANI,994.8,71,17.4,1435879477711,4.0,NULL,NULL
2298,DEDULESTI-MORARESTI,990.8,85,17.9,1435879477738,NULL,NULL,NULL
2299,DEJ,990.8,85,14.2,1435879477816,NULL,NULL,NULL
2300,DEVA,990.8,85,15.4,1435879477868,NULL,NULL,NULL
2301,DRAGASANI,990.8,85,18.3,1435879477900,1.0,NULL,NULL
2302,"DROBETA TURNU SEVERIN",1014.4,68,21.5,1435879477925,1.0,NULL,NULL
2303,DUMBRAVENI,986.9,96,12.9,1435879478025,1.0,NULL,NULL
2304,"DUMBRAVITA DE CODRU",956.5,70,16.4,1435879478326,1.0,NULL,NULL
2305,FAGARAS,974.6,100,14.9,1435879478351,2.0,NULL,NULL
2306,FETESTI,1014.6,59,20.7,1435879478916,1.0,NULL,NULL
2307,FOCSANI,1016.8,52,20.9,1435879478941,2.0,NULL,NULL
2308,FUNDATA,872.7,100,10.2,1435879479313,2.0,NULL,NULL
2309,FUNDULEA,1014.1,67,20.2,1435879479689,NULL,NULL,NULL
2310,GALATI,1014.1,67,17.6,1435879479737,1.0,NULL,NULL
2311,GIURGIU,1020.4,72,16.2,1435879479808,NULL,NULL,NULL
2312,GORGOVA,1020.4,72,18.5,1435879479833,NULL,NULL,NULL
2313,GRIVITA,1020.4,72,14.7,1435879479859,NULL,NULL,NULL
2314,"GURA PORTITEI",1020.4,72,19.8,1435879479886,5.0,NULL,NULL
2315,GURAHONT,1002.7,88,14.3,1435879479915,2.0,NULL,NULL
2316,HALANGA,1017.2,81,21.4,1435879479942,NULL,NULL,NULL
2317,HARSOVA,1017.2,81,16.6,1435879479970,3.0,NULL,NULL
2318,HOLOD,1014.4,74,17,1435879480046,NULL,NULL,NULL
2319,HUEDIN,1014.4,74,21.8,1435879480360,NULL,NULL,NULL
2320,IASI,1014.4,74,18.9,1435879480568,2.0,NULL,NULL
2321,IEZER,831.1,77,8.8,1435879480593,4.0,NULL,NULL
2322,"INTORSURA BUZAULUI",1014.2,59,12.5,1435879480923,NULL,NULL,NULL
2323,JIMBOLIA,1014.2,59,18.8,1435879481084,3.0,NULL,NULL
2324,JOSENI,939.6,89,9.6,1435879481269,1.0,NULL,NULL
2325,JURILOVCA,1016.3,59,18.7,1435879481571,5.0,NULL,NULL
2326,LACAUTI,822,100,7.4,1435879481604,5.0,NULL,NULL
2327,LUGOJ,1008.7,93,14.1,1435879481676,2.0,NULL,NULL
2328,MAHMUDIA,1000.7,78,16.3,1435879481714,8.0,NULL,NULL
2329,MANGALIA,1020,73,18.3,1435879481785,3.0,NULL,NULL
2330,MEDGIDIA,1013.4,66,16.7,1435879481928,2.0,NULL,NULL
2331,"MIERCUREA CIUC",948.6,93,10,1435879481953,1.0,NULL,NULL
2332,"MOLDOVA VECHE",1013.2,78,18.4,1435879481978,1.0,NULL,NULL
2333,"NEGRESTI (VASLUI)",1008.1,86,18.4,1435879482006,2.0,NULL,NULL
2334,"OBARSIA LOTRULUI",875.2,89,7.6,1435879482034,2.0,NULL,NULL
2335,"OCNA SUGATAG",967.7,70,13.9,1435879482079,2.0,NULL,NULL
2336,"ODORHEIUL SECUIESC",963.7,62,16.3,1435879482110,1.0,NULL,NULL
2337,OLTENITA,1008.4,59,17.4,1435879483526,NULL,NULL,NULL
2338,ORADEA,1008.4,59,19,1435879483551,2.0,NULL,NULL
2339,ORAVITA,987,55,19.6,1435879483770,3.0,NULL,NULL
2340,"PADES (APA NEAGRA)",991.5,98,22.2,1435879484591,2.0,NULL,NULL
2341,PALTINIS,843.4,88,9.8,1435879484955,NULL,NULL,NULL
2342,PARANG,843.4,88,11.5,1435879484980,NULL,NULL,NULL
2343,PATARLAGELE,843.4,88,19,1435879487672,NULL,NULL,NULL
2344,PENTELEU,843.4,88,8.5,1435879487697,NULL,NULL,NULL
2345,PETROSANI,953.8,60,21.4,1435879488615,4.0,NULL,NULL
2346,"PIATRA NEAMT",982.7,57,19.2,1435879490397,3.0,NULL,NULL
2347,PITESTI,986,89,17,1435879490425,3.0,NULL,NULL
2348,PLOIESTI,920.8,85,16.6,1435879490451,NULL,NULL,NULL
2349,"POIANA STAMPEI",920.8,85,11.5,1435879490479,3.0,NULL,NULL
2350,POLOVRAGI,962.7,83,16,1435879490507,2.0,NULL,NULL
2351,PREDEAL,901.9,94,10.4,1435879490536,1.0,NULL,NULL
2352,RADAUTI,980.3,73,16.2,1435879490564,3.0,NULL,NULL
2353,"RAMNICU SARAT",996,82,22.6,1435879490590,NULL,NULL,NULL
2354,"RAMNICU VALCEA",996,82,17.8,1435879490618,1.0,NULL,NULL
2355,RESITA,990.4,93,15.5,1435879490647,1.0,NULL,NULL
2356,ROMAN,997.9,86,16.7,1435879490675,3.0,NULL,NULL
2357,"ROSIA MONTANA",891.1,67,13.5,1435879490704,5.0,NULL,NULL
2358,"ROSIORII DE VEDE",1012.1,68,18.3,1435879490732,NULL,NULL,NULL
2359,SACUIENI,1012.1,68,23.6,1435879490758,NULL,NULL,NULL
2360,"SANNICOLAU MARE",1012.1,68,17.1,1435879490787,3.0,NULL,NULL
2361,SARMASU,978.9,61,16.3,1435879490815,1.0,NULL,NULL
2362,"SATU MARE",1010.6,73,15.9,1435879490845,2.0,NULL,NULL
2363,"SEBES (ALBA)",992.4,82,16.8,1435879490872,2.0,NULL,NULL
2364,SEMENIC,866.9,69,11.5,1435879490900,2.0,NULL,NULL
2365,"SFANTU GHEORGHE (DELTA)",963.9,98,19.9,1435879490929,NULL,NULL,NULL
2366,"SFANTU GHEORGHE (MUNTE)",963.9,98,12.6,1435879490957,1.0,NULL,NULL
2367,SIBIU,972.1,80,16.1,1435879490985,2.0,NULL,NULL
2368,"SIGHETUL MARMATIEI",857.3,84,14.1,1435879491015,NULL,NULL,NULL
2369,"SINAIA 1500",857.3,84,9,1435879491043,1.0,NULL,NULL
2370,SIRIA,968.9,52,19.4,1435879491071,4.0,NULL,NULL
2371,SLATINA,1002.9,94,18,1435879491099,2.0,NULL,NULL
2372,SLOBOZIA,1016.3,74,17.4,1435879491128,2.0,NULL,NULL
2373,"STANA DE VALE",1010.4,86,6.9,1435879491156,NULL,NULL,NULL
2374,"STEFANESTI STANCA",1010.4,86,18.3,1435879491184,2.0,NULL,NULL
2375,"STEI (PETRU GROZA)",990.9,88,12.9,1435879491213,2.0,NULL,NULL
2376,STOLNICI,1018.6,73,16.6,1435879491241,NULL,NULL,NULL
2377,SUCEAVA,1018.6,73,16.6,1435879491269,NULL,NULL,NULL
2378,SULINA,1018.6,73,19.5,1435879491297,7.0,NULL,NULL
2379,"SUPURU DE JOS",790.3,85,13.9,1435879491326,NULL,NULL,NULL
2380,TARCU,790.3,85,8.5,1435879491355,8.0,NULL,NULL
2381,TARGOVISTE,988.7,100,15.2,1435879491383,2.0,NULL,NULL
2382,"TARGU JIU",992.6,93,17.9,1435879491411,NULL,NULL,NULL
2383,"TARGU LAPUS",992.6,93,13.3,1435879491440,NULL,NULL,NULL
2384,"TARGU LOGRESTI",992.6,93,17.3,1435879491468,1.0,NULL,NULL
2385,"TARGU MURES",988.6,88,13.7,1435879491497,1.0,NULL,NULL
2386,"TARGU NEAMT",979.8,67,17.5,1435879491525,2.0,NULL,NULL
2387,"TARGU OCNA",995.5,67,17.8,1435879491553,3.0,NULL,NULL
2388,"TARGU SECUIESC",958.5,82,12.1,1435879491582,3.0,NULL,NULL
2389,"TARNAVENI (BOBOHALMA)",963.8,61,17.4,1435879491611,3.0,NULL,NULL
2390,TEBEA,992.1,89,13.9,1435879491639,1.0,NULL,NULL
2391,TECUCI,1015.7,58,19.6,1435879491667,6.0,NULL,NULL
2392,TIMISOARA,1012.7,53,20.5,1435879491696,3.0,NULL,NULL
2393,TITU,947.1,89,15.1,1435879491724,NULL,NULL,NULL
2394,TOPLITA,947.1,89,10.4,1435879491753,1.0,NULL,NULL
2395,TULCEA,1020.8,73,18.4,1435879491781,2.0,NULL,NULL
2396,TURDA,975.4,65,16.2,1435879491811,2.0,NULL,NULL
2397,"TURNU MAGURELE",1019.4,90,19.6,1435879491839,1.0,NULL,NULL
2398,URZICENI,1015.7,86,15.5,1435879491866,1.0,NULL,NULL
2399,"VARADIA DE MURES",1005.9,95,12,1435879491895,1.0,NULL,NULL
2400,"VARFUL OMU",760.4,100,1.9,1435879491923,NULL,NULL,NULL
2401,VASLUI,1008.4,78,17.9,1435879491952,NULL,NULL,NULL
2402,VIDELE,1008.4,78,19.8,1435879491980,2.0,NULL,NULL
2403,"VLADEASA 1800",958.6,84,7.3,1435879492008,NULL,NULL,NULL
2404,VOINEASA,958.6,84,12,1435879492037,1.0,NULL,NULL
2405,ZALAU,990.4,65,16.6,1435879492065,1.0,NULL,NULL
2406,ZIMNICEA,1018.8,97,18.2,1435879492131,1.0,NULL,NULL
2407,ADAMCLISI,1003.1,70,17.4,1435883062151,1.0,NULL,NULL
2408,ADJUD,1010,71,18.5,1435883062181,4.0,NULL,NULL
2409,ALEXANDRIA,1003.1,63,17.1,1435883062222,NULL,NULL,NULL
2410,ARAD,1003.1,63,15.3,1435883062252,NULL,NULL,NULL
2411,BACAU,1003.1,63,19.3,1435883062277,2.0,NULL,NULL
2412,BACLES,987.1,75,17.4,1435883062305,2.0,NULL,NULL
2413,"BAIA MARE",1003.3,74,14.8,1435883062332,1.0,NULL,NULL
2414,"BAILE HERCULANE",1016.5,77,17.4,1435883062360,NULL,NULL,NULL
2415,BAILESTI,1016.5,77,19.2,1435883062387,1.0,NULL,NULL
2416,"BALEA LAC",803.2,83,2.7,1435883062423,1.0,NULL,NULL
2417,BANLOC,1013.6,74,16.6,1435883062491,3.0,NULL,NULL
2418,BARAOLT,965.3,84,12.5,1435883062542,1.0,NULL,NULL
2419,BARLAD,972.8,58,18.8,1435883062576,NULL,NULL,NULL
2420,BATOS,972.8,58,17.2,1435883062601,1.0,NULL,NULL
2421,BECHET,1018.2,88,18.6,1435883062630,3.0,NULL,NULL
2422,BISOCA,926,68,14.6,1435883062659,7.0,NULL,NULL
2423,BISTRITA,981.7,69,16,1435883062686,3.0,NULL,NULL
2424,BLAJ,985,75,16.5,1435883062715,4.0,NULL,NULL
2425,BOITA,964,100,14.3,1435883062743,2.0,NULL,NULL
2426,BOROD,985.9,88,13,1435883062773,2.0,NULL,NULL
2427,BOTOSANI,1005.3,66,18.7,1435883062802,3.0,NULL,NULL
2428,BOZOVICI,994.6,96,13.8,1435883062827,2.0,NULL,NULL
2429,BRAILA,1020.2,76,17.1,1435883062854,3.0,NULL,NULL
2430,"BRASOV GHIMBAV",962.6,98,12.7,1435883062884,3.0,NULL,NULL
2431,BUCIN,882.8,70,10.3,1435883062938,2.0,NULL,NULL
2432,"BUCURESTI AFUMATI",1011.5,82,15.9,1435883062972,NULL,NULL,NULL
